Ward,Alderperson,Address,Email,Phone Number,Websites
18,Derrick G. Curtis,"8359 S Pulaski Rd, Chicago, IL 60652",ward18@cityofchicago.org,773-284-5057,"{Website: https://www.derrickgcurtis.com/, LinkedIn: https://www.linkedin.com/in/derrick-curtis-90050a38/, Facebook: https://www.facebook.com/derrick.curtis.18, X: https://twitter.com/aldcurtis18, YouTube: https://www.youtube.com/@derrickcurtis7695/}"
19,Matthew O'Shea,"10400 S Western Ave, Chicago, IL 60643",ward19@cityofchicago.org,773-238-8766,"{Website: https://www.19thwardmobile.com/, X: https://twitter.com/mattoshea19, Instagram: https://www.instagram.com/oshea_matt/}"
20,Jeanette B. Taylor,"5707 S Wentworth, Chicago, IL 60621",ward20@cityofchicago.org,773-966-5336,"{Facebook: https://www.facebook.com/profile.php?id=100057997031768, X: https://twitter.com/taylorfor20th, Instagram: https://www.instagram.com/taylorfor20th/, LinkedIn: https://www.linkedin.com/in/jeanette-taylor-a84b32195/}"
21,Ronnie L. Mosley,"10801 S Halsted St, Chicago, IL 60628",ward21@cityofchicago.org,773-881-9300,"{Website: https://www.aldmosley21.com/, Facebook: https://www.facebook.com/AldMosley21/, X: https://twitter.com/AldMosley21, Instagram: https://www.instagram.com/aldmosley21/, LinkedIn: https://www.linkedin.com/in/ronniemosley/}"
22,Michael D. Rodriguez,"2500 S St. Louis Ave, Chicago, IL 60623",ward22@cityofchicago.org,773-762-1771,"{Website: https://www.22ndward.org/, Facebook: https://www.facebook.com/aldmikerodriguez/, Instagram: https://www.instagram.com/aldmikerodriguez/, LinkedIn: https://www.linkedin.com/in/michael-d-rodr%C3%ADguez-0379972/, X: https://x.com/AldRodriguez22}"
23,Silvana Tabares,"6247 S Archer Ave, Chicago, IL 60638",ward23@cityofchicago.org,773-582-4444,"{Website: https://www.ward23.org/, Facebook: https://www.facebook.com/23rdWardTabares/, X: https://twitter.com/AldermanTabares, Instagram: https://www.instagram.com/23rdward_tabares/, LinkedIn: https://www.linkedin.com/in/aldermantabares/}"
24,Monique Scott,"1158 S Keeler Ave, Chicago, IL 60624",ward24@cityofchicago.org,773-533-2400,"{Website: http://aldermanscott.com/, Facebook: https://www.facebook.com/CitizensForScott/, X: https://twitter.com/aldermanscott24, LinkedIn: https://www.linkedin.com/in/monique-scott-731991a/}"
25,Byron Sigcho-Lopez,"2100 W Cermak Rd, Chicago, IL 60608",ward25@cityofchicago.org,773-523-4100,"{Website: https://www.25thward.org/, Facebook: https://www.facebook.com/25thwardChicago/, X: https://twitter.com/ByronSigcho, Instagram: https://www.instagram.com/sigchofor25/, LinkedIn: https://www.linkedin.com/in/byron-sigcho-lopez-2b576a11/}"
26,Jessie Fuentes,"2511 W Division St, Chicago, IL 60622",ward26@cityofchicago.org,773-395-0143,"{Website: https://www.the26thward.org/, Facebook:https://www.facebook.com/Ward26Chicago, X: https://twitter.com/jessiefor26th, LinkedIn: https://www.linkedin.com/pub/dir/Jessica/Fuentes, Instagram: https://www.instagram.com/26thwardchicago/}"
27,"Walter Burnett, Jr.","4 N Western Ave Unit 1C, Chicago, IL 60612",ward27@cityofchicago.org,312-432-1995,"{Website: https://www.chicago.gov/city/en/about/wards/27.html, Facebook: https://www.facebook.com/27thward/, X: https://twitter.com/aldermanburnett, Instagram: https://www.instagram.com/aldermanburnett/, YouTube: https://www.youtube.com/WBURNETT27, LinkedIn: https://www.linkedin.com/in/walter-burnett-154a85156/}"
28,Jason C. Ervin,"2622 W Jackson Blvd 2nd Floor, Chicago, IL 60612",ward28@cityofchicago.org,773-533-0900,"{Website: https://www.chicago.gov/city/en/about/wards/28.html, Facebook: https://www.facebook.com/AldermanErvin/, X: https://twitter.com/AldermanErvin, Instagram: https://www.instagram.com/jason.c.ervin/, LinkedIn: https://www.linkedin.com/in/jason-c-ervin-8a951654}"
29,Chris Taliaferro,"6272 W N Ave, Chicago, IL 60639",ward29@cityofchicago.org,773-237-6460,"{Website: https://aldtaliaferro.com/, Facebook: https://www.facebook.com/29th.Ward.Alderman.Taliaferro/, X: https://twitter.com/christ29thward}"
30,Ruth Cruz,"5714 W Belmont Ave Unit A, Chicago, IL 60634",ward30@cityofchicago.org,312-744-3304,"{Website: https://www.30thward.org/, Facebook: https://www.facebook.com/p/Ruth-Cruz-for-30-100085263365966/, X: https://x.com/AlderwomanCruz, Instagram: https://www.instagram.com/alderwomancruz/}"
31,"Felix Cardona, Jr.","4606 W Diversey Ave, Chicago, IL 60639",ward31@cityofchicago.org,773-824-2000,"{Website: https://www.felix31.org/, Facebook: https://www.facebook.com/AldermanCardona/, Instagram: https://www.instagram.com/aldermanfelixcardona/, YouTube: https://www.youtube.com/channel/UCIQsmD9qE6M1nxk7nb2wMOA}"
32,Scott Waguespack,"2657 N Clybourn, Chicago, IL 60614",info@ward32.org,773-248-1330,"{Website: https://www.ward32.org/, Facebook: https://www.facebook.com/Waguespack32/, X: https://twitter.com/ward32chicago, YouTube: https://www.youtube.com/user/ScottForChicago}"
33,Rossana Rodriguez Sanchez,"4747 N Sawyer Ave, Chicago, IL 60625",info@33rdward.org,773-840-7880,"{Website: https://33rdward.org/, Facebook: https://www.facebook.com/rossanafor33/, X: https://x.com/ward33chicago, Instagram: https://www.instagram.com/rossanafor33/, LinkedIn: https://www.linkedin.com/in/rvrv}"
34,Bill Conway,,ward34@cityofchicago.org,312-744-6820,"{Website: https://www.ward34.org/, Facebook: https://www.facebook.com/NewDayConway/, X: https://x.com/AldConway, Instagram: https://www.instagram.com/aldconway/, LinkedIn: https://www.linkedin.com/in/william-conway-626900174}"
35,Carlos Ramirez-Rosa,"2934 N Milwaukee Ave Unit C, Chicago, IL 60618",ward35@cityofchicago.org,773-887-3772,"{Website: https://www.aldermancarlosrosa.org/, Facebook: https://www.facebook.com/35thward/, X: https://x.com/35th_ward, Instagram: https://www.instagram.com/cdrosa}"
36,Gilbert Villegas,"6560 W Fullerton Ave #C118 Suite A, Chicago, IL 60607",ward36@cityofchicago.org,773-745-4636,"{Website: https://www.36thward.org/, Facebook: https://www.facebook.com/AldermanGilbertVillegas/, X: https://x.com/gilbert36ward, Instagram: https://www.instagram.com/aldermanvillegas/, LinkedIn: https://www.linkedin.com/company/alderman-gilbert-villegas}"
37,Emma Mitts,"4924 W Chicago Ave, Chicago, IL 60651",ward37@cityofchicago.org,773-379-0960,"{Website: https://em-37.com/, Facebook: https://www.facebook.com/aldermanemmamitts/, X: https://x.com/emmamitts371, Instagram: https://www.instagram.com/aldemmamitts/, LinkedIn: https://www.linkedin.com/in/ald-emma-mitts-471aba36}"
38,Nicholas Sposato,"3821 N Harlem Ave, Chicago, IL 60634",info@aldermansposato.com,773-283-3838,"{Website: https://aldermansposato.com/, Facebook: https://www.facebook.com/nick.sposato.3/, X: https://twitter.com/aldsposato}"
39,Samantha Nugent,"4200 W Lawrence Ave, Chicago, IL 60630",Ward39@cityofchicago.org,773-736-5594,"{Website: https://aldermannugent.com/, Facebook: https://www.facebook.com/39thWardSamanthaNugent/, LinkedIn: https://www.linkedin.com/in/samantha-nugent-6829bb5}"
40,"Andre Vasquez, Jr.","5620 N Western Ave, Chicago, IL 60659",info@40thward.org,773-654-1867,"{Website: https://40thward.org/, Facebook: https://www.facebook.com/40thward/, X: https://twitter.com/40thforward, Instagram: https://www.instagram.com/40thward/}"
41,Anthony V. Napolitano,"7442 N Harlem Ave, Chicago, IL 60631",ward41@cityofchicago.org,773-631-2241,"{Website: https://www.chicago41.com/, Facebook: https://www.facebook.com/Chicago41/, X: https://twitter.com/aldnapolitano41}"
42,Brendan Reilly,,ward42@cityofchicago.org,312-642-4242,"{Website: https://ward42chicago.com, X: https://twitter.com/AldReilly}"
43,Timmy Knudsen,"2523 N Halsted St, Chicago, IL 60614",Yourvoice@ward43.org,773-348-9500,"{Website: https://ward43.org/, Facebook: https://www.facebook.com/AldKnudsen43/, X: https://twitter.com/AldKnudsen43, Instagram: https://www.instagram.com/aldknudsen43, LinkedIn: https://www.linkedin.com/in/timknudsen/}"
44,Bennett R. Lawson,"3223 N Sheffield Ave, Chicago, IL 60657",ward44@cityofchicago.org,773-525-6034,"{Website: https://www.44thward.org/, Facebook: https://www.facebook.com/AldBennettLawson/, X: https://twitter.com/lawsonfor44, Instagram: https://www.instagram.com/bennettfor44/}"
45,James M. Gardiner,"5425 W Lawrence Ave,Chicago, IL 60630",ward45@cityofchicago.org,773-853-0799,"{Website: https://www.aldermangardiner.com/, Facebook: https://www.facebook.com/AldermanGardiner/, Instagram: https://www.instagram.com/aldermangardiner/}"
46,Angela Clay,"4544 N Broadway, Chicago, IL 60640",info@46thward.com,773-878-4646,"{Website: https://www.46thward.com/, X: https://x.com/46thWardChi, Instagram: https://www.instagram.com/clayfor46/}"
47,Matt Martin,"4243 N Lincoln Ave, Chicago, IL 60618",info@aldermanmartin.com,773-868-4747,"{Website: https://www.aldermanmartin.com/, Facebook: https://www.facebook.com/aldermanmartin/, X: https://x.com/AldMattMartin, Instagram: https://www.instagram.com/aldermanmattmartin}"
48,Leni Manaa-Hoppenworth,"1129 W Bryn Mawr Ave,Chicago, IL 60660",info@the48thward.org,773-784-5277,"{Website: https://www.the48thward.org/, Facebook: https://www.facebook.com/the48thward/, X: https://x.com/the48thward, Instagram: https://www.instagram.com/the48thward}"
49,Maria E. Hadden,"1447 W Morse Ave, Chicago, IL 60626",Office@49thWard.org,773-338-5796,"{Website: https://www.49thward.org/, Facebook: https://www.facebook.com/Alderwoman49/, X: https://x.com/ChiAlderwoman, Instagram: https://www.instagram.com/alderwoman49}"
50,Debra Silverstein,"2949 W Devon Ave, Chicago, IL 60659",ward50@cityofchicago.org,773-262-1050,"{Website: https://50thward.org/, Facebook: https://www.facebook.com/50thWardChicago/, X: https://x.com/50thWardChicago, Instagram: https://www.instagram.com/aldermansilverstein/}"
