ward,alderperson,address,email,phone,websites
20,Jeanette B. Taylor,"5707 S Wentworth, Chicago, IL 60621",ward20@cityofchicago.org,773-966-5336,"{facebook: https://www.facebook.com/profile.php?id=100057997031768, x: https://twitter.com/taylorfor20th, instagram: https://www.instagram.com/taylorfor20th/}"
21,Ronnie L. Mosley,"10801 S Halsted St, Chicago, IL 60628",ward21@cityofchicago.org,773-881-9300,"{website: https://www.aldmosley21.com/, facebook: https://www.facebook.com/AldMosley21/, x: https://twitter.com/AldMosley21, instagram: https://www.instagram.com/aldmosley21/}"
22,Michael D. Rodriguez,"2500 S St. Louis Ave, Chicago, IL 60623",ward22@cityofchicago.org,773-762-1771,"{website: https://www.22ndward.org/, facebook: https://www.facebook.com/aldmikerodriguez/, instagram: https://www.instagram.com/aldmikerodriguez/, x: https://x.com/AldRodriguez22}"
23,Silvana Tabares,"6247 S Archer Ave, Chicago, IL 60638",ward23@cityofchicago.org,773-582-4444,"{website: https://www.ward23.org/, facebook: https://www.facebook.com/23rdWardTabares/, x: https://twitter.com/AldermanTabares, instagram: https://www.instagram.com/23rdward_tabares/}"
24,Monique Scott,"1158 S Keeler Ave, Chicago, IL 60624",ward24@cityofchicago.org,773-533-2400,"{website: http://aldermanscott.com/, facebook: https://www.facebook.com/CitizensForScott/, x: https://twitter.com/aldermanscott24}"
25,Byron Sigcho-Lopez,"2100 W Cermak Rd, Chicago, IL 60608",ward25@cityofchicago.org,773-523-4100,"{website: https://www.25thward.org/, facebook: https://www.facebook.com/25thwardChicago/, x: https://twitter.com/ByronSigcho, instagram: https://www.instagram.com/sigchofor25/}"
26,Jessie Fuentes,"2511 W Division St, Chicago, IL 60622",ward26@cityofchicago.org,773-395-0143,"{website: https://www.the26thward.org/, facebook:https://www.facebook.com/Ward26Chicago, x: https://twitter.com/jessiefor26th, instagram: https://www.instagram.com/26thwardchicago/}"
27,"Walter Burnett, Jr.","4 N Western Ave Unit 1C, Chicago, IL 60612",ward27@cityofchicago.org,312-432-1995,"{website: https://www.chicago.gov/city/en/about/wards/27.html, facebook: https://www.facebook.com/27thward/, x: https://twitter.com/aldermanburnett, instagram: https://www.instagram.com/aldermanburnett/, youtube: https://www.youtube.com/WBURNETT27}"
28,Jason C. Ervin,"2622 W Jackson Blvd 2nd Floor, Chicago, IL 60612",ward28@cityofchicago.org,773-533-0900,"{website: https://www.chicago.gov/city/en/about/wards/28.html, facebook: https://www.facebook.com/AldermanErvin/, x: https://twitter.com/AldermanErvin, instagram: https://www.instagram.com/jason.c.ervin/}"
29,Chris Taliaferro,"6272 W N Ave, Chicago, IL 60639",ward29@cityofchicago.org,773-237-6460,"{website: https://aldtaliaferro.com/, facebook: https://www.facebook.com/29th.Ward.Alderman.Taliaferro/, x: https://twitter.com/christ29thward}"
30,Ruth Cruz,"5714 W Belmont Ave Unit A, Chicago, IL 60634",ward30@cityofchicago.org,312-744-3304,"{website: https://www.30thward.org/, facebook: https://www.facebook.com/p/Ruth-Cruz-for-30-100085263365966/, x: https://x.com/AlderwomanCruz, instagram: https://www.instagram.com/alderwomancruz/}"
31,"Felix Cardona, Jr.","4606 W Diversey Ave, Chicago, IL 60639",ward31@cityofchicago.org,773-824-2000,"{website: https://www.felix31.org/, facebook: https://www.facebook.com/AldermanCardona/, instagram: https://www.instagram.com/aldermanfelixcardona/, youtube: https://www.youtube.com/channel/UCIQsmD9qE6M1nxk7nb2wMOA}"
32,Scott Waguespack,"2657 N Clybourn, Chicago, IL 60614",info@ward32.org,773-248-1330,"{website: https://www.ward32.org/, facebook: https://www.facebook.com/Waguespack32/, x: https://twitter.com/ward32chicago, youtube: https://www.youtube.com/user/ScottForChicago}"
33,Rossana Rodriguez Sanchez,"4747 N Sawyer Ave, Chicago, IL 60625",info@33rdward.org,773-840-7880,"{website: https://33rdward.org/, facebook: https://www.facebook.com/rossanafor33/, x: https://x.com/ward33chicago, instagram: https://www.instagram.com/rossanafor33/}"
34,Bill Conway,,ward34@cityofchicago.org,312-744-6820,"{website: https://www.ward34.org/, facebook: https://www.facebook.com/NewDayConway/, x: https://x.com/AldConway, instagram: https://www.instagram.com/aldconway/}"
35,Carlos Ramirez-Rosa,"2934 N Milwaukee Ave Unit C, Chicago, IL 60618",ward35@cityofchicago.org,773-887-3772,"{website: https://www.aldermancarlosrosa.org/, facebook: https://www.facebook.com/35thward/, x: https://x.com/35th_ward, instagram: https://www.instagram.com/cdrosa}"
36,Gilbert Villegas,"6560 W Fullerton Ave #C118 Suite A, Chicago, IL 60607",ward36@cityofchicago.org,773-745-4636,"{website: https://www.36thward.org/, facebook: https://www.facebook.com/AldermanGilbertVillegas/, x: https://x.com/gilbert36ward, instagram: https://www.instagram.com/aldermanvillegas/}"
37,Emma Mitts,"4924 W Chicago Ave, Chicago, IL 60651",ward37@cityofchicago.org,773-379-0960,"{website: https://em-37.com/, facebook: https://www.facebook.com/aldermanemmamitts/, x: https://x.com/emmamitts371, instagram: https://www.instagram.com/aldemmamitts/}"
38,Nicholas Sposato,"3821 N Harlem Ave, Chicago, IL 60634",info@aldermansposato.com,773-283-3838,"{website: https://aldermansposato.com/, facebook: https://www.facebook.com/nick.sposato.3/, x: https://twitter.com/aldsposato}"
39,Samantha Nugent,"4200 W Lawrence Ave, Chicago, IL 60630",Ward39@cityofchicago.org,773-736-5594,"{website: https://aldermannugent.com/, facebook: https://www.facebook.com/39thWardSamanthaNugent/}"
40,"Andre Vasquez, Jr.","5620 N Western Ave, Chicago, IL 60659",info@40thward.org,773-654-1867,"{website: https://40thward.org/, facebook: https://www.facebook.com/40thward/, x: https://twitter.com/40thforward, instagram: https://www.instagram.com/40thward/}"
41,Anthony V. Napolitano,"7442 N Harlem Ave, Chicago, IL 60631",ward41@cityofchicago.org,773-631-2241,"{website: https://www.chicago41.com/, facebook: https://www.facebook.com/Chicago41/, x: https://twitter.com/aldnapolitano41}"
42,Brendan Reilly,,ward42@cityofchicago.org,312-642-4242,"{website: https://ward42chicago.com, x: https://twitter.com/AldReilly}"
43,Timmy Knudsen,"2523 N Halsted St, Chicago, IL 60614",Yourvoice@ward43.org,773-348-9500,"{website: https://ward43.org/, facebook: https://www.facebook.com/AldKnudsen43/, x: https://twitter.com/AldKnudsen43, instagram: https://www.instagram.com/aldknudsen43}"
44,Bennett R. Lawson,"3223 N Sheffield Ave, Chicago, IL 60657",ward44@cityofchicago.org,773-525-6034,"{website: https://www.44thward.org/, facebook: https://www.facebook.com/AldBennettLawson/, x: https://twitter.com/lawsonfor44, instagram: https://www.instagram.com/bennettfor44/}"
45,James M. Gardiner,"5425 W Lawrence Ave,Chicago, IL 60630",ward45@cityofchicago.org,773-853-0799,"{website: https://www.aldermangardiner.com/, facebook: https://www.facebook.com/AldermanGardiner/, instagram: https://www.instagram.com/aldermangardiner/}"
46,Angela Clay,"4544 N Broadway, Chicago, IL 60640",info@46thward.com,773-878-4646,"{website: https://www.46thward.com/, x: https://x.com/46thWardChi, instagram: https://www.instagram.com/clayfor46/}"
47,Matt Martin,"4243 N Lincoln Ave, Chicago, IL 60618",info@aldermanmartin.com,773-868-4747,"{website: https://www.aldermanmartin.com/, facebook: https://www.facebook.com/aldermanmartin/, x: https://x.com/AldMattMartin, instagram: https://www.instagram.com/aldermanmattmartin}"
48,Leni Manaa-Hoppenworth,"1129 W Bryn Mawr Ave,Chicago, IL 60660",info@the48thward.org,773-784-5277,"{website: https://www.the48thward.org/, facebook: https://www.facebook.com/the48thward/, x: https://x.com/the48thward, instagram: https://www.instagram.com/the48thward}"
49,Maria E. Hadden,"1447 W Morse Ave, Chicago, IL 60626",Office@49thWard.org,773-338-5796,"{website: https://www.49thward.org/, facebook: https://www.facebook.com/Alderwoman49/, x: https://x.com/ChiAlderwoman, instagram: https://www.instagram.com/alderwoman49}"
50,Debra Silverstein,"2949 W Devon Ave, Chicago, IL 60659",ward50@cityofchicago.org,773-262-1050,"{website: https://50thward.org/, facebook: https://www.facebook.com/50thWardChicago/, x: https://x.com/50thWardChicago, instagram: https://www.instagram.com/aldermansilverstein/}"
